Season,Name,Team,G,PA,K%,O-Swing%,O-Contact%,Z-Swing%,Z-Contact%,Zone%,F-Strike%,SwStr%,CSW%,Pitches,Swing%,Contact%,GB,FB,LD,Fair/Foul ratio
2015,Ben Zobrist,- - -,126,535,10.50%,22.60%,80.90%,55.40%,92.80%,43.00%,54.80%,4.20%,26.60%,2157,0.367,0.886,203,134,77,
2017,Eddie Rosario,MIN,151,589,18.00%,37.60%,72.00%,76.10%,82.10%,44.90%,59.40%,11.90%,23.60%,2155,0.549,0.783,187,165,89,
2010,Justin Upton,ARI,133,571,26.60%,23.30%,54.20%,61.70%,83.30%,45.90%,56.20%,10.40%,28.30%,2396,0.409,0.743,144,137,67,
2018,Whit Merrifield,KCR,158,707,16.10%,32.80%,73.10%,67.70%,88.40%,42.50%,59.00%,8.40%,24.70%,2733,0.477,0.823,182,184,155,
2019,Francisco Lindor,CLE,143,654,15.00%,35.40%,75.40%,73.70%,91.60%,41.20%,57.60%,7.70%,21.00%,2426,0.512,0.85,220,184,99,
2011,Jay Bruce,CIN,157,664,23.80%,30.80%,57.00%,72.80%,85.20%,40.80%,54.80%,12.00%,25.00%,2623,0.479,0.745,156,200,72,
2011,Howie Kendrick,LAA,140,583,20.40%,31.90%,65.60%,62.80%,87.60%,46.40%,59.90%,9.40%,28.50%,2313,0.462,0.795,212,109,90,
2017,Trey Mancini,BAL,147,586,23.70%,34.90%,60.00%,72.10%,81.20%,43.00%,61.30%,13.80%,27.40%,2280,0.509,0.729,208,121,79,
2016,Khris Davis,OAK,150,610,27.20%,31.30%,51.50%,76.70%,76.20%,45.60%,63.90%,16.60%,29.80%,2331,0.52,0.682,168,158,67,
2016,Carlos Correa,HOU,153,660,21.10%,29.40%,64.20%,65.10%,84.50%,42.90%,59.80%,10.30%,27.80%,2642,0.448,0.769,221,121,99,
2018,Justin Smoak,TOR,147,594,26.30%,24.60%,60.80%,63.50%,85.50%,40.30%,55.60%,9.50%,27.90%,2452,0.403,0.765,139,150,63,
2017,Joe Mauer,MIN,141,597,13.90%,20.50%,77.50%,53.40%,93.30%,48.50%,57.00%,4.10%,28.10%,2601,0.364,0.887,227,104,110,
2019,Tommy Pham,TBR,145,654,18.80%,19.90%,62.60%,63.00%,88.60%,42.80%,58.30%,7.30%,27.60%,2604,0.384,0.809,237,110,97,
2016,Jose Abreu,CHW,159,695,18.00%,39.70%,65.90%,69.30%,87.50%,40.10%,59.30%,11.50%,25.60%,2695,0.516,0.776,231,169,108,
2017,Yasiel Puig,LAD,152,570,17.50%,29.30%,59.80%,69.50%,86.90%,42.00%,58.90%,10.70%,25.30%,2119,0.462,0.769,195,144,65,
2019,Mike Moustakas,MIL,143,584,16.80%,33.90%,66.30%,74.10%,86.00%,39.30%,52.20%,11.00%,23.60%,2233,0.498,0.779,152,192,80,
2015,Yunel Escobar,WSN,139,591,11.80%,28.40%,67.20%,75.50%,92.10%,44.90%,63.80%,7.80%,21.50%,1991,0.495,0.843,254,108,104,
2017,Steven Souza Jr.,TBR,148,617,29.00%,24.40%,50.40%,70.80%,78.70%,41.90%,60.10%,13.30%,28.50%,2490,0.438,0.696,152,117,72,
2018,Justin Upton,LAA,145,613,28.70%,24.90%,55.60%,66.40%,79.50%,42.70%,57.60%,12.10%,29.70%,2527,0.426,0.715,154,130,79,
2018,Matt Kemp,LAD,146,506,22.70%,34.30%,60.70%,73.70%,80.30%,41.70%,64.40%,13.90%,27.60%,1833,0.507,0.726,124,135,95,
2017,Christian Yelich,MIA,156,695,19.70%,25.00%,61.60%,64.10%,88.40%,44.40%,52.10%,8.60%,26.30%,2883,0.424,0.796,260,118,91,
2011,Yunel Escobar,TOR,133,590,11.90%,20.70%,69.40%,63.20%,92.90%,45.80%,56.30%,5.50%,25.10%,2191,0.401,0.863,255,110,81,
2015,Mitch Moreland,TEX,132,515,21.70%,30.40%,57.80%,69.50%,86.90%,42.90%,57.30%,11.20%,27.70%,2033,0.472,0.762,166,126,72,
2016,Xander Bogaerts,BOS,157,719,17.10%,33.80%,68.40%,59.10%,90.70%,45.50%,59.10%,8.30%,28.40%,2849,0.453,0.817,241,185,104,
2011,Chipper Jones,ATL,126,512,15.60%,25.00%,67.80%,71.40%,88.70%,42.10%,54.50%,7.90%,22.90%,1842,0.445,0.819,188,133,60,
2011,Freddie Freeman,ATL,157,635,22.40%,36.30%,66.00%,76.40%,86.00%,38.40%,60.20%,11.70%,22.50%,2475,0.517,0.774,184,150,100,
2016,Michael Saunders,TOR,140,558,28.10%,25.80%,50.00%,69.90%,84.40%,42.80%,55.00%,12.00%,27.00%,2383,0.447,0.73,136,123,75,
2014,Dexter Fowler,HOU,116,505,21.40%,24.50%,63.90%,68.60%,82.90%,41.70%,56.00%,10.00%,25.50%,2085,0.429,0.765,141,113,69,
2010,Bobby Abreu,LAA,154,667,19.80%,17.70%,67.60%,50.90%,89.70%,44.80%,55.80%,5.60%,31.20%,2866,0.326,0.831,211,161,74,
2018,Jed Lowrie,OAK,157,680,18.80%,25.20%,67.50%,73.60%,87.70%,42.50%,59.30%,8.50%,23.00%,2738,0.458,0.813,156,204,110,
2015,Jose Altuve,HOU,154,689,9.70%,35.60%,81.70%,71.90%,94.60%,45.50%,65.50%,5.30%,20.20%,2227,0.521,0.898,268,202,104,
2016,Jason Kipnis,CLE,156,688,21.20%,27.50%,66.90%,62.00%,90.00%,44.90%,55.20%,7.80%,27.70%,2758,0.43,0.819,182,175,111,
2018,Andrew McCutchen,- - -,155,682,21.30%,19.30%,65.30%,64.10%,84.50%,45.80%,56.00%,8.20%,27.70%,2889,0.398,0.795,178,154,99,
2019,Javier Baez,CHC,138,561,27.80%,44.10%,54.20%,74.30%,79.50%,36.70%,65.80%,18.40%,30.30%,2002,0.552,0.667,189,119,68,
2017,Jed Lowrie,OAK,153,645,15.50%,24.20%,70.60%,75.90%,88.40%,46.20%,60.80%,7.90%,20.30%,2584,0.481,0.836,138,204,127,
2012,Derek Jeter,NYY,159,740,12.20%,30.70%,73.30%,73.20%,90.30%,44.50%,60.50%,7.70%,21.40%,2740,0.496,0.845,366,93,127,
2010,Casey McGehee,MIL,157,670,15.20%,28.80%,76.60%,67.20%,87.50%,45.80%,59.30%,7.50%,23.30%,2495,0.464,0.838,245,184,87,
2010,J.D. Drew,BOS,139,546,19.20%,20.20%,70.20%,58.60%,87.80%,46.00%,57.30%,6.50%,28.40%,2229,0.379,0.827,167,147,62,
2018,C.J. Cron,TBR,140,560,25.90%,38.50%,61.40%,70.40%,82.20%,38.60%,58.80%,14.00%,28.50%,2172,0.508,0.726,145,140,76,
2019,Rhys Hoskins,PHI,160,705,24.50%,24.00%,68.10%,61.00%,84.00%,41.00%,54.00%,8.50%,28.10%,3223,0.392,0.782,117,203,83,
2017,Lorenzo Cain,KCR,155,645,15.50%,30.40%,64.10%,71.00%,90.60%,46.60%,63.90%,8.90%,23.90%,2515,0.493,0.819,216,160,110,
2013,Dustin Pedroia,BOS,160,724,10.40%,27.40%,82.70%,59.50%,92.20%,47.90%,59.40%,4.70%,25.10%,2934,0.428,0.89,289,160,124,
2011,Jeff Francoeur,KCR,153,656,18.80%,40.00%,73.20%,74.20%,84.60%,42.60%,64.30%,10.90%,23.00%,2388,0.546,0.798,196,195,97,
2013,Torii Hunter,DET,144,652,17.30%,40.80%,69.20%,73.30%,85.90%,44.00%,60.40%,11.60%,24.30%,2363,0.551,0.79,246,152,99,
2015,Carlos Beltran,NYY,133,531,16.00%,29.40%,70.60%,66.90%,91.30%,43.20%,57.30%,7.40%,25.30%,2069,0.456,0.837,142,171,86,
2015,Adam Eaton,CHW,153,689,19.00%,28.40%,71.30%,60.40%,90.40%,46.50%,58.60%,7.00%,27.00%,2785,0.433,0.837,238,128,103,
2018,Johan Camargo,ATL,134,524,20.60%,36.00%,66.70%,69.70%,81.80%,40.00%,57.60%,12.30%,27.20%,2085,0.495,0.752,161,127,71,
2018,Edwin Encarnacion,CLE,137,579,22.80%,29.00%,61.80%,67.20%,84.40%,40.80%,57.20%,10.80%,27.00%,2293,0.446,0.757,135,164,76,
2014,Kyle Seager,SEA,159,654,18.00%,26.10%,71.60%,61.00%,89.10%,42.90%,57.20%,7.10%,26.70%,2563,0.411,0.827,173,194,105,
2010,Ike Davis,NYM,147,601,23.00%,26.70%,60.20%,64.50%,85.90%,38.90%,56.10%,9.90%,28.30%,2384,0.414,0.757,168,158,64,
2010,Brett Gardner,NYY,150,569,17.80%,17.80%,74.60%,44.80%,97.50%,47.50%,56.20%,2.90%,31.50%,2628,0.306,0.905,195,102,68,
2013,Adrian Gonzalez,LAD,157,641,15.30%,35.90%,70.00%,72.30%,88.90%,41.00%,55.70%,9.60%,22.50%,2361,0.508,0.81,189,193,113,
2012,Adam Dunn,CHW,151,649,34.20%,23.90%,49.80%,64.40%,80.10%,41.50%,54.20%,12.30%,29.00%,2876,0.407,0.697,109,140,72,
2016,Chris Carter,MIL,160,644,32.00%,25.90%,42.20%,68.30%,76.20%,42.20%,58.50%,15.50%,31.00%,2745,0.437,0.646,112,172,69,
2018,Eduardo Escobar,- - -,151,631,20.00%,39.30%,69.00%,72.80%,85.60%,40.70%,61.60%,11.50%,25.10%,2464,0.529,0.783,144,193,111,
2014,Alex Gordon,KCR,156,643,19.60%,25.70%,58.60%,65.50%,88.50%,44.20%,57.50%,9.20%,26.70%,2655,0.433,0.786,188,168,85,
2017,Cesar Hernandez,PHI,128,577,18.00%,21.60%,62.30%,61.40%,88.00%,47.00%,57.40%,7.80%,27.50%,2316,0.403,0.807,208,97,89,
2019,Paul Goldschmidt,STL,161,682,24.30%,31.40%,69.90%,67.70%,80.10%,41.30%,64.50%,11.10%,28.20%,2888,0.464,0.76,167,171,96,
2012,Adrian Gonzalez,- - -,159,684,16.10%,36.70%,74.80%,72.40%,89.60%,41.00%,60.10%,8.50%,22.20%,2508,0.513,0.833,212,187,127,
2012,Mark Trumbo,LAA,144,586,26.10%,39.50%,56.10%,64.70%,82.30%,44.20%,60.60%,14.70%,31.30%,2217,0.506,0.709,175,155,63,
2011,Logan Morrison,FLA,123,525,18.90%,25.20%,70.50%,58.50%,89.20%,42.50%,54.10%,6.90%,27.20%,2096,0.393,0.823,174,127,66,
2015,Jason Heyward,STL,154,610,14.80%,25.10%,67.90%,63.10%,93.10%,42.10%,52.60%,6.50%,25.00%,2348,0.411,0.842,263,108,89,
2012,Curtis Granderson,NYY,160,684,28.50%,29.10%,58.90%,62.10%,81.00%,40.30%,55.70%,11.80%,30.50%,2921,0.424,0.72,134,178,93,
2014,Chris Carter,HOU,145,572,31.80%,30.70%,43.40%,72.50%,77.80%,42.60%,59.80%,16.70%,31.10%,2336,0.485,0.653,89,169,71,
2019,Christian Walker,ARI,152,603,25.70%,28.20%,58.00%,78.00%,81.90%,41.20%,58.90%,12.80%,24.90%,2413,0.487,0.738,156,144,75,
2016,Asdrubal Cabrera,NYM,141,568,18.10%,32.80%,62.80%,73.40%,88.40%,43.70%,59.70%,10.50%,24.10%,2082,0.505,0.791,155,164,95,
2011,Andre Ethier,LAD,135,551,18.70%,30.40%,64.20%,71.60%,89.10%,42.40%,56.40%,9.40%,24.10%,2093,0.479,0.8,169,120,98,
2012,Martin Prado,ATL,156,690,10.00%,28.10%,83.60%,48.90%,95.20%,44.40%,55.70%,3.60%,29.00%,2712,0.374,0.904,267,162,127,
2013,Billy Butler,KCR,162,668,15.30%,28.60%,72.50%,62.30%,90.90%,43.10%,54.60%,6.80%,25.00%,2609,0.431,0.839,257,128,99,
2010,Gaby Sanchez,FLA,151,643,15.70%,34.00%,73.00%,64.50%,90.50%,46.00%,59.70%,7.90%,24.60%,2430,0.48,0.838,174,218,81,
2016,Stephen Piscotty,STL,153,649,20.50%,33.10%,60.70%,75.40%,84.50%,45.50%,62.40%,12.40%,25.00%,2481,0.523,0.763,196,163,91,
2018,Cody Bellinger,LAD,162,632,23.90%,28.30%,62.30%,66.90%,78.00%,43.40%,58.10%,12.40%,28.80%,2644,0.45,0.724,163,164,81,
2012,Mark Teixeira,NYY,123,524,15.80%,26.70%,75.20%,60.20%,90.40%,40.50%,50.60%,6.20%,25.20%,2114,0.403,0.844,156,150,74,
2013,Jonathan Lucroy,MIL,147,580,11.90%,30.90%,76.60%,57.50%,94.10%,46.10%,55.90%,5.40%,27.30%,2331,0.431,0.874,180,175,105,
2015,Charlie Blackmon,COL,157,682,16.40%,28.10%,73.50%,60.30%,92.10%,44.60%,57.80%,6.20%,26.80%,2727,0.424,0.853,190,183,123,
2013,Jed Lowrie,OAK,154,662,13.70%,27.90%,76.30%,72.50%,90.30%,44.80%,58.60%,6.80%,21.20%,2449,0.478,0.858,171,221,120,
2016,Yasmany Tomas,ARI,140,563,24.20%,42.40%,57.60%,80.30%,82.40%,41.20%,71.00%,16.30%,27.10%,1972,0.58,0.717,188,124,83,
2017,Mike Moustakas,KCR,148,598,15.70%,40.30%,69.10%,76.20%,89.40%,42.60%,58.50%,10.60%,22.00%,2240,0.556,0.81,162,213,91,
2018,Nick Markakis,ATL,162,705,11.30%,22.90%,78.60%,61.60%,93.30%,45.30%,56.90%,4.50%,25.90%,2798,0.404,0.888,239,166,147,
2012,Cody Ross,BOS,130,528,24.40%,27.90%,62.20%,65.60%,83.00%,45.00%,57.40%,10.80%,27.90%,2179,0.449,0.759,126,148,79,
2017,Yuli Gurriel,HOU,139,564,11.00%,32.80%,70.20%,67.90%,91.10%,43.80%,62.10%,8.10%,25.00%,1933,0.482,0.831,218,166,88,
2016,Elvis Andrus,TEX,147,568,12.30%,26.90%,71.90%,61.40%,91.50%,47.20%,64.10%,6.40%,26.40%,2083,0.432,0.85,211,126,105,
2013,Jay Bruce,CIN,160,697,26.50%,29.20%,53.20%,76.10%,79.10%,42.70%,60.10%,14.40%,27.60%,2762,0.492,0.703,163,175,106,
2019,Brett Gardner,NYY,141,550,19.60%,24.80%,67.60%,56.00%,91.20%,43.50%,53.50%,6.70%,28.60%,2381,0.383,0.826,168,145,67,
2011,J.J. Hardy,BAL,129,567,16.20%,30.80%,77.60%,54.00%,91.00%,48.00%,59.30%,5.90%,29.60%,2160,0.42,0.859,177,191,72,
2019,Jose Abreu,CHW,159,693,21.90%,37.30%,62.10%,67.10%,89.20%,41.00%,57.70%,11.30%,27.50%,2735,0.495,0.772,228,157,107,
2012,Dustin Pedroia,BOS,141,623,9.60%,24.80%,83.60%,61.70%,91.10%,47.20%,54.60%,4.70%,24.60%,2476,0.423,0.888,232,176,101,
2013,Starling Marte,PIT,135,566,24.40%,35.90%,58.40%,65.20%,85.80%,47.00%,68.20%,12.20%,29.70%,2168,0.497,0.753,181,98,77,
2010,Alex Rios,CHW,147,617,15.10%,28.70%,70.80%,62.40%,92.50%,45.90%,52.70%,6.60%,24.70%,2266,0.442,0.849,216,182,81,
2012,Carlos Santana,CLE,143,609,16.60%,21.20%,66.20%,61.10%,84.80%,44.30%,50.70%,8.10%,25.90%,2602,0.389,0.791,178,156,79,
2010,Curtis Granderson,NYY,136,528,22.00%,25.20%,60.10%,63.00%,89.90%,44.00%,54.00%,8.40%,26.80%,2176,0.418,0.798,116,166,70,
2011,Asdrubal Cabrera,CLE,151,667,17.80%,30.60%,70.80%,68.90%,91.20%,43.50%,60.30%,7.60%,23.40%,2516,0.473,0.837,213,188,85,
2012,Nori Aoki,MIL,151,588,9.40%,26.70%,84.10%,61.40%,90.70%,44.30%,57.50%,4.90%,24.50%,2290,0.421,0.883,252,126,77,
2016,Adam Eaton,CHW,157,706,16.30%,31.10%,75.40%,66.50%,90.10%,44.00%,60.60%,7.20%,23.40%,2670,0.467,0.846,264,127,101,
2017,Elvis Andrus,TEX,158,689,14.70%,33.90%,69.10%,63.10%,90.20%,45.20%,62.70%,8.50%,26.50%,2547,0.471,0.819,265,172,109,
2014,Jhonny Peralta,STL,157,628,17.80%,29.00%,61.80%,74.50%,86.20%,43.30%,59.20%,10.70%,23.80%,2476,0.487,0.78,178,170,104,
2019,Eloy Jimenez,CHW,122,504,26.60%,36.70%,56.50%,71.60%,80.20%,37.90%,66.90%,15.30%,30.50%,1864,0.499,0.694,161,114,61,
2011,Edwin Encarnacion,TOR,134,530,14.50%,28.10%,74.00%,68.20%,89.70%,45.20%,59.20%,7.20%,23.90%,1980,0.463,0.844,148,180,79,
2010,Derrek Lee,- - -,148,626,21.40%,22.60%,65.60%,63.70%,84.30%,46.60%,59.10%,8.70%,27.00%,2656,0.418,0.789,166,157,94,
2016,Bryce Harper,WSN,147,627,18.70%,27.00%,66.30%,68.10%,87.40%,38.20%,50.70%,8.60%,23.60%,2547,0.427,0.792,160,168,68,
2010,Omar Infante,ATL,134,506,12.30%,27.40%,72.40%,56.60%,94.20%,49.70%,61.70%,5.40%,27.30%,1799,0.419,0.87,190,139,75,
2011,Eric Hosmer,KCR,128,563,14.60%,35.90%,72.90%,68.00%,87.90%,41.50%,55.60%,9.00%,25.20%,2080,0.492,0.815,221,141,83,
2010,Marlon Byrd,CHC,152,630,15.60%,34.50%,66.50%,69.50%,89.60%,47.30%,64.40%,9.50%,25.10%,2229,0.51,0.814,252,147,84,
2018,Joey Gallo,TEX,148,577,35.90%,32.20%,47.00%,74.40%,72.00%,38.10%,59.60%,18.50%,30.70%,2348,0.483,0.617,86,145,60,
2013,Jacoby Ellsbury,BOS,134,636,14.50%,27.80%,77.30%,65.10%,93.40%,46.70%,57.40%,5.30%,23.30%,2454,0.452,0.881,247,137,102,
2015,Christian Yelich,MIA,126,525,19.20%,26.10%,64.30%,64.50%,87.70%,43.60%,56.40%,8.70%,25.80%,2125,0.428,0.797,233,56,84,
2018,Kyle Schwarber,CHC,137,510,27.50%,25.20%,54.10%,64.90%,82.10%,40.70%,55.90%,11.60%,28.90%,2139,0.414,0.72,125,106,55,
2017,Matt Joyce,OAK,141,544,20.80%,21.40%,60.70%,67.10%,81.90%,45.80%,54.20%,10.10%,26.80%,2266,0.424,0.761,137,155,70,
2010,Raul Ibanez,PHI,155,636,17.00%,23.50%,67.90%,60.50%,87.10%,44.90%,55.70%,7.50%,27.40%,2545,0.401,0.809,205,172,83,
2016,Mike Napoli,CLE,150,645,30.10%,26.40%,58.90%,66.10%,78.80%,44.20%,57.10%,12.20%,29.20%,2950,0.44,0.721,134,166,68,
2016,Anthony Rendon,WSN,156,647,18.10%,22.80%,75.00%,64.80%,88.80%,47.40%,62.30%,6.40%,26.40%,2604,0.427,0.849,163,200,94,
2012,Freddie Freeman,ATL,147,620,20.80%,31.80%,63.70%,78.50%,85.50%,41.50%,62.90%,11.40%,22.30%,2467,0.512,0.775,156,155,109,
2010,Hunter Pence,HOU,156,658,16.00%,32.40%,65.60%,67.70%,88.60%,45.20%,64.10%,9.60%,26.10%,2422,0.484,0.801,272,165,75,
2011,Gaby Sanchez,FLA,159,661,14.70%,31.30%,74.60%,63.90%,89.90%,43.20%,58.50%,7.30%,24.00%,2581,0.454,0.839,171,214,95,
2016,Melky Cabrera,CHW,151,646,10.70%,34.80%,80.10%,68.60%,92.80%,42.10%,55.40%,6.10%,22.20%,2374,0.491,0.876,227,184,115,
2018,Michael Conforto,NYM,153,638,24.90%,27.60%,58.70%,65.10%,84.00%,41.50%,58.50%,11.00%,28.60%,2654,0.432,0.745,170,142,76,
2015,Todd Frazier,CIN,157,678,20.20%,36.70%,63.80%,76.10%,85.20%,41.30%,60.30%,12.40%,24.20%,2565,0.53,0.765,161,232,93,
2019,Brian Anderson,MIA,126,520,21.90%,34.80%,58.70%,65.90%,87.10%,41.00%,62.70%,11.90%,28.60%,1925,0.475,0.749,158,123,67,
2013,Will Venable,SDP,151,515,22.90%,36.70%,62.60%,72.30%,87.60%,41.10%,56.10%,11.70%,25.80%,1997,0.513,0.771,166,111,75,
2014,Luis Valbuena,CHC,149,547,20.70%,27.20%,62.30%,66.70%,86.60%,43.90%,59.00%,9.60%,26.40%,2281,0.445,0.783,114,174,74,
2012,Alex Rodriguez,NYY,122,529,21.90%,30.70%,66.70%,67.60%,79.60%,41.50%,60.90%,11.70%,27.70%,2016,0.46,0.745,159,114,78,
2017,David Peralta,ARI,140,577,16.30%,31.80%,65.30%,70.70%,89.30%,43.00%,59.60%,9.60%,24.50%,2144,0.486,0.803,239,115,80,
2016,Danny Valencia,OAK,130,517,22.20%,29.90%,51.80%,62.40%,85.80%,43.70%,59.20%,12.00%,30.20%,2020,0.441,0.728,161,114,83,
2016,Yadier Molina,STL,147,581,10.80%,36.00%,81.40%,72.70%,89.60%,47.30%,62.50%,7.10%,19.70%,2072,0.534,0.867,228,140,103,
2013,Kendrys Morales,SEA,156,657,17.40%,32.50%,60.70%,72.40%,88.00%,39.60%,58.60%,11.00%,26.20%,2464,0.483,0.769,238,160,91,
2017,DJ LeMahieu,COL,155,682,13.20%,23.80%,79.90%,59.30%,93.50%,49.30%,59.10%,4.30%,25.50%,2676,0.413,0.895,290,103,129,
2019,Adam Eaton,WSN,151,656,16.20%,28.20%,72.30%,63.20%,91.40%,42.70%,57.90%,6.80%,25.00%,2664,0.431,0.842,178,182,90,
2016,Wil Myers,SDP,157,676,23.70%,26.20%,69.70%,60.30%,86.50%,42.70%,57.80%,8.00%,28.20%,2884,0.408,0.803,198,150,95,
2014,Denard Span,WSN,147,668,9.70%,24.10%,82.70%,61.80%,96.00%,48.20%,59.40%,3.30%,24.50%,2454,0.423,0.921,247,160,128,
2012,Jon Jay,STL,117,502,14.10%,27.60%,73.00%,59.80%,94.80%,46.90%,60.40%,5.40%,25.90%,1935,0.427,0.873,214,70,79,
2014,Kole Calhoun,LAA,127,537,19.40%,31.10%,63.80%,67.60%,90.60%,42.30%,60.50%,9.20%,27.20%,2000,0.466,0.802,171,127,93,
2012,A.J. Ellis,LAD,133,505,21.20%,21.80%,72.10%,54.60%,88.00%,46.40%,56.00%,6.20%,29.80%,2242,0.37,0.83,142,104,73,
2010,Adam LaRoche,ARI,151,615,28.00%,27.50%,53.00%,66.20%,85.10%,44.20%,56.60%,11.50%,28.90%,2454,0.446,0.74,148,172,71,
2019,Eduardo Escobar,ARI,158,699,18.60%,40.80%,68.40%,71.10%,85.00%,38.60%,61.50%,12.00%,25.90%,2691,0.525,0.771,169,230,117,
2018,Jurickson Profar,TEX,146,594,14.80%,33.30%,72.10%,68.70%,89.40%,42.80%,60.30%,8.40%,24.80%,2340,0.484,0.826,193,151,96,
2016,Buster Posey,SFG,146,614,11.10%,29.30%,78.10%,68.10%,91.50%,45.90%,60.60%,6.10%,21.50%,2297,0.471,0.87,233,143,103,
2014,Starlin Castro,CHC,134,569,17.60%,30.90%,67.00%,65.00%,88.10%,45.90%,56.80%,9.00%,26.60%,2122,0.465,0.805,195,139,96,
2012,Justin Upton,ARI,150,628,19.30%,26.20%,59.80%,67.40%,85.60%,44.00%,62.10%,10.10%,26.30%,2376,0.443,0.771,191,155,90,
2017,Corey Dickerson,TBR,150,629,24.20%,45.50%,71.60%,78.50%,75.30%,40.00%,61.80%,15.50%,25.70%,2493,0.587,0.736,183,157,98,
2017,Nick Castellanos,DET,157,665,21.40%,34.60%,59.20%,73.20%,83.90%,42.90%,63.90%,13.10%,27.10%,2605,0.512,0.743,178,182,117,
2014,Christian Yelich,MIA,144,660,20.80%,21.70%,65.60%,61.90%,90.20%,43.00%,58.60%,6.80%,27.10%,2812,0.39,0.824,267,78,93,
2010,Mike Napoli,LAA,140,510,26.90%,26.40%,52.90%,64.00%,78.70%,46.60%,52.40%,13.00%,30.60%,2092,0.439,0.705,121,135,63,
2011,Carlos Lee,HOU,155,653,9.20%,26.10%,75.70%,64.10%,94.00%,46.30%,59.30%,5.10%,23.80%,2433,0.437,0.881,185,234,112,
2015,Francisco Cervelli,PIT,130,510,18.40%,20.90%,66.70%,63.40%,87.60%,48.30%,60.60%,7.40%,26.60%,2003,0.414,0.821,186,96,75,
2013,Ian Desmond,WSN,158,655,22.10%,34.70%,61.90%,70.20%,83.50%,44.20%,66.60%,12.40%,27.50%,2422,0.504,0.752,197,155,102,
2018,Corey Dickerson,PIT,135,533,15.00%,45.30%,73.80%,79.50%,85.80%,41.00%,63.60%,11.60%,22.40%,1986,0.593,0.804,160,150,116,
2014,Hunter Pence,SFG,162,708,18.40%,35.10%,67.20%,65.20%,83.90%,39.00%,58.20%,11.10%,27.30%,2811,0.469,0.762,273,177,73,
2013,Andre Ethier,LAD,142,553,17.20%,29.10%,65.10%,69.40%,88.40%,43.80%,57.00%,9.10%,23.80%,2162,0.467,0.802,152,143,95,
2016,Francisco Lindor,CLE,158,684,12.90%,30.30%,71.40%,69.70%,90.60%,43.10%,59.60%,7.70%,23.70%,2552,0.473,0.836,262,151,119,
2013,Alfonso Soriano,- - -,151,626,24.90%,41.70%,57.80%,70.60%,84.50%,39.90%,64.40%,14.90%,28.80%,2347,0.533,0.72,163,180,86,
2019,Corey Seager,LAD,134,541,18.10%,30.70%,57.20%,79.50%,86.90%,41.90%,58.20%,12.00%,22.50%,1909,0.511,0.765,154,155,86,
2014,Adam Jones,BAL,159,682,19.50%,40.90%,62.90%,76.70%,83.30%,41.00%,62.00%,14.20%,25.90%,2483,0.556,0.744,242,183,90,
2016,Kole Calhoun,LAA,157,672,17.60%,30.70%,57.50%,74.80%,86.80%,42.60%,61.80%,11.70%,24.40%,2509,0.495,0.763,182,191,106,
2015,Russell Martin,TOR,129,507,20.90%,23.30%,62.60%,60.30%,86.60%,47.70%,57.80%,8.40%,27.50%,2112,0.409,0.795,170,111,55,
2019,Whit Merrifield,KCR,162,735,17.10%,34.10%,73.40%,69.10%,87.20%,42.90%,60.40%,8.90%,25.70%,2773,0.491,0.817,209,184,157,
2018,Eddie Rosario,MIN,138,592,17.60%,42.80%,69.80%,78.50%,83.90%,41.40%,61.50%,12.80%,23.40%,2100,0.576,0.778,162,200,92,
2014,Yan Gomes,CLE,135,518,23.20%,36.50%,65.80%,66.60%,83.40%,45.10%,60.20%,11.80%,28.80%,1997,0.501,0.764,136,146,89,
2014,Adam Eaton,CHW,123,538,15.40%,30.20%,76.10%,58.30%,96.20%,47.00%,61.00%,4.90%,26.80%,2095,0.434,0.888,237,80,80,
2016,Chris Davis,BAL,157,665,32.90%,28.20%,49.30%,64.10%,76.30%,40.50%,58.00%,14.60%,30.80%,2755,0.427,0.657,127,152,69,
2014,Albert Pujols,LAA,159,695,10.20%,32.40%,71.70%,66.50%,93.70%,45.30%,57.10%,6.80%,23.60%,2555,0.479,0.855,261,202,108,
2011,Matt Wieters,BAL,139,551,15.20%,31.70%,72.20%,68.40%,88.30%,42.40%,57.70%,8.40%,24.00%,2096,0.472,0.82,181,162,74,
2018,Matt Olson,OAK,162,660,24.70%,25.10%,67.20%,69.60%,77.70%,42.70%,54.10%,11.40%,27.00%,2844,0.441,0.743,150,180,88,
2016,Jay Bruce,- - -,147,589,21.40%,33.00%,62.70%,77.30%,84.60%,42.30%,57.00%,12.00%,24.00%,2302,0.518,0.765,154,170,91,
2015,Justin Upton,SDP,150,620,25.60%,24.20%,51.50%,69.10%,77.90%,45.10%,57.90%,13.20%,28.90%,2514,0.445,0.701,150,171,67,
2014,Ryan Braun,MIL,135,580,19.50%,38.10%,69.10%,67.50%,86.40%,40.70%,59.70%,10.60%,26.50%,2080,0.501,0.786,197,138,83,
2018,George Springer,HOU,140,620,19.70%,25.50%,63.70%,68.50%,85.20%,43.40%,57.10%,9.60%,25.50%,2501,0.442,0.782,210,147,68,
2019,J.T. Realmuto,PHI,145,593,20.70%,34.80%,66.20%,73.10%,86.20%,41.50%,58.30%,11.10%,25.30%,2332,0.507,0.782,165,159,99,
2014,Lonnie Chisenhall,CLE,142,533,18.60%,38.40%,72.40%,69.40%,91.10%,43.70%,62.50%,8.60%,24.70%,2045,0.519,0.833,144,146,90,
